case,clean_fit_mse,final_error_percent,model,omega,run_idx,s_r,test_rel_rmse_percent,train_rel_rmse_percent,used_fit_mse
narrow_centered,0.0005532760700667665,1.165465398638987,A_current_phys005_res010,0.05,12,0.1,10.925000443448738,2.1231373281979953,0.0005041769706016947
narrow_centered,0.0016838077911019897,-20.90757410237814,A_current_phys005_res010,0.05,13,0.1,14.726765644991751,4.173200414509023,0.0021814364482636186
narrow_centered,0.0005312321837921219,0.4276548366109025,A_current_phys005_res010,0.05,14,0.1,8.38332100074989,2.196055653933934,0.0008161708692957495
narrow_centered,0.0004915091635318205,-10.952149541844113,A_current_phys005_res010,0.05,15,0.1,7.9083118734480315,2.0066754059394345,0.00037690988823567667
narrow_centered,0.000672674758547865,3.6004398062905882,A_current_phys005_res010,0.05,16,0.1,10.977129563683452,2.3111150989545917,0.0005775714330261675
narrow_centered,0.0016817541669362438,-22.200526394694243,A_current_phys005_res010,0.05,17,0.1,17.85581443211601,3.998223147486108,0.0018447237366363868
narrow_centered,0.0009538686862177471,3.4170457698949277,A_current_phys005_res010,0.05,18,0.1,11.464750789787747,2.879802620028121,0.0012071274437063604
narrow_centered,0.0018628601523955346,-15.934140042864623,A_current_phys005_res010,0.05,19,0.1,13.24180183254666,4.508302954262143,0.0021897897179740905
narrow_centered,0.00036236673521508123,3.880018368887179,B_weak_phys001_res020,0.01,0,0.2,13.002673846577148,2.0880492785279774,0.0007326403296966614
narrow_centered,0.0005600409185865296,-4.905140031905723,B_weak_phys001_res020,0.01,1,0.2,10.12666916498031,2.00104121203091,0.0005753622067820791
narrow_centered,0.000564503034622649,-1.03800810808047,B_weak_phys001_res020,0.01,2,0.2,10.50473071915702,2.3516321306064047,0.0005983471461165387
narrow_centered,0.0006648969359250743,4.891781073499291,B_weak_phys001_res020,0.01,3,0.2,13.91435604937559,1.915096688082531,0.0004657347242476016
narrow_centered,0.0005479327292392582,-15.728542089429764,B_weak_phys001_res020,0.01,4,0.2,9.729907248875898,2.4110403830646514,0.0009581518094660142
narrow_centered,0.00044339473404523893,3.3415952828406406,B_weak_phys001_res020,0.01,5,0.2,12.572037158963925,1.9624990583575672,0.0005255261023276918
narrow_centered,0.0006112317594889669,-6.3151812396562885,B_weak_phys001_res020,0.01,6,0.2,6.918813384021473,2.4150439641268977,0.0010646850509681582
narrow_centered,0.0005037395442683626,-1.6804323557433165,B_weak_phys001_res020,0.01,7,0.2,10.250935742323954,2.370149249981169,0.001171679745402872
narrow_centered,0.0006316561852834393,-6.299450625918741,B_weak_phys001_res020,0.01,8,0.2,9.223769223410523,2.2481201936012014,0.0004506126531506279
narrow_centered,0.001234345164911344,4.603928363825402,B_weak_phys001_res020,0.01,9,0.2,12.282797372772057,3.263647462185551,0.0012799785664815494
narrow_centered,0.00044082725444973713,-2.6331176502235145,B_weak_phys001_res020,0.01,10,0.2,9.835391819131546,2.0229017476957725,0.0006516169244639763
narrow_centered,0.00047394135703352847,13.510366292190147,B_weak_phys001_res020,0.01,11,0.2,19.931879419213374,2.3343138359672633,0.0007770270734863921
narrow_centered,0.0005437086697230783,2.248405236697228,B_weak_phys001_res020,0.01,12,0.2,11.477232080318421,2.0987480787679957,0.0004937819099863609
narrow_centered,0.001438826637426331,-6.214353456801391,B_weak_phys001_res020,0.01,13,0.2,5.514342923438029,3.7567628791014345,0.0019421698658827736
narrow_centered,0.00032510021113022814,0.13864374634619078,B_weak_phys001_res020,0.01,14,0.2,11.512601657006728,1.8400258593279566,0.0005787799663822881
narrow_centered,0.0004182937150513658,6.194891098139117,B_weak_phys001_res020,0.01,15,0.2,15.106873808076692,1.7911126764050145,0.00023139855547504553
narrow_centered,0.0006961718287122608,0.6539089548669718,B_weak_phys001_res020,0.01,16,0.2,9.44066344863296,2.3494722475453345,0.0005936299804813092
narrow_centered,0.0013594384301535741,-23.926114369100954,B_weak_phys001_res020,0.01,17,0.2,18.301166407270305,3.440907696645727,0.0015451170897660732
narrow_centered,0.0010460996077622429,4.575221940612514,B_weak_phys001_res020,0.01,18,0.2,12.132886324897392,3.03004050908596,0.001301000717878405
narrow_centered,0.0012952807650576663,7.19177007230277,B_weak_phys001_res020,0.01,19,0.2,7.396781743179131,3.573702299696463,0.0015880371737631619
narrow_centered,0.0005342190840867229,4.674297551145159,C_balanced_phys010_res005,0.1,0,0.05,9.872305505203496,2.1056521984625407,0.0010328172841506278
narrow_centered,0.0007731261151960582,2.349028599447862,C_balanced_phys010_res005,0.1,1,0.05,9.850246630038033,2.380396060806839,0.0008487267666998828
