case,clean_fit_mse,final_error_percent,model,n_points,run_idx,test_rel_rmse_percent,train_rel_rmse_percent,used_fit_mse
narrow_centered,0.00456866667498672,-0.2130367073110509,PI-NODE-2state,5,2,11.873086151291327,7.798224485531399,0.0038301548433118614
narrow_centered,0.003312635863933721,5.843239847353913,PI-NODE-2state,5,3,15.293310932863847,7.164327603683638,0.0026750899109426233
narrow_centered,0.006692622919180401,-13.532301160684934,PI-NODE-2state,5,4,12.416196018086065,10.463140072958103,0.005938632335367536
narrow_centered,0.006553512262844988,-8.834814773344677,PI-NODE-2state,5,5,11.085098375899907,10.124153439434929,0.00429763513646818
narrow_centered,0.00035998379789233724,3.616043874249306,PI-NODE-2state,5,6,10.465564335261842,3.515850077744091,0.00020689950438492407
narrow_centered,0.0014836949331046233,1.5016585958256607,PI-NODE-2state,5,7,13.596903016257079,4.7933403673310755,0.001048713106714338
narrow_centered,0.0011923492719248569,0.49802402393066003,PI-NODE-2state,5,8,12.818701063699564,3.7071364455635787,0.0012186295208872339
narrow_centered,0.0016059890649925764,0.23778749691359022,PI-NODE-2state,5,9,12.454151041492539,5.539470283272772,0.0012077177237885687
narrow_centered,0.006039390388078351,-10.847058139671738,PI-NODE-2state,5,10,11.792746439694518,10.271822420192334,0.0036054975986754036
narrow_centered,0.0022396104089710094,-3.5839826323467063,PI-NODE-2state,5,11,10.790848032980154,5.690563167686158,0.0011369257659906865
narrow_centered,0.004531016078915667,-6.759736560683542,PI-NODE-2state,5,12,9.497703559008952,7.357632015467172,0.004474037662028769
narrow_centered,0.0022030204758264004,9.692859782247329,PI-NODE-2state,5,13,15.048823406890468,5.515906751178699,0.0015460072494063832
narrow_centered,0.0016269449314096109,0.21573932852525837,PI-NODE-2state,5,14,12.439578460523746,4.932790803634159,0.002691139006377739
narrow_centered,0.0006027622079015432,8.757034279223463,PI-NODE-2state,5,15,17.60199006700368,2.879808536005814,0.0003908027057881326
narrow_centered,0.0005727973619812368,13.329454499917675,PI-NODE-2state,5,16,20.380382383011884,2.9039488916635836,0.0005140282962996257
narrow_centered,0.0015467296229723596,5.8546484360299065,PI-NODE-2state,5,17,16.153019737486947,5.10742316121976,0.0023483842020783755
narrow_centered,0.0010124519410912064,-11.284585302828626,PI-NODE-2state,5,18,9.824263764931167,3.582663235433112,0.0005478216472929321
narrow_centered,0.00022371933445928496,11.628299595115697,PI-NODE-2state,5,19,20.338522047616582,1.9154474164859276,0.00015673043866849064
slight_shift_full_beam,0.0021570835484996604,-0.5416901938655347,PI-NODE-2state,5,0,16.488616688481645,6.671925306073673,0.00184042223104662
slight_shift_full_beam,0.0032938790668764276,26.723761782987605,PI-NODE-2state,5,1,32.32722502905181,8.267137485264085,0.0028420590164359083
slight_shift_full_beam,0.0030581672181103463,12.587045641304268,PI-NODE-2state,5,2,22.109939566499367,8.712843397252628,0.0025301878112401685
slight_shift_full_beam,0.0025593908741908234,9.510894819140232,PI-NODE-2state,5,3,21.14022783347553,7.838288341852312,0.002805009607906392
slight_shift_full_beam,0.0033605044687777677,1.9992817550766933,PI-NODE-2state,5,4,17.636187924467933,8.962192370343699,0.004082156764535611
slight_shift_full_beam,0.004231238075723565,28.42812715723451,PI-NODE-2state,5,5,31.83049626473366,9.524153349076865,0.003446074968698675
slight_shift_full_beam,0.0026761891728041337,5.70792200851869,PI-NODE-2state,5,6,19.283062152577862,8.053123393290772,0.002425329454069775
slight_shift_full_beam,0.0017103855913900806,14.12970118853842,PI-NODE-2state,5,7,24.391230029202774,5.874325104908437,0.0009641445336038713
slight_shift_full_beam,0.0031112156428255997,0.9179243828462013,PI-NODE-2state,5,8,17.278940768295783,8.358560190516133,0.003164480283252258
slight_shift_full_beam,0.0019270547014059735,13.733692763145642,PI-NODE-2state,5,9,23.918778470607336,7.459601900910244,0.0015163702186114718
slight_shift_full_beam,0.002728080757108635,-26.172029914896367,PI-NODE-2state,5,10,18.31321950355606,7.838187353639564,0.0026200035966898816
slight_shift_full_beam,0.001441281902087768,12.99936738032257,PI-NODE-2state,5,11,22.660897013927162,5.927235856774648,0.0013785039301360946
slight_shift_full_beam,0.004365260303729292,-8.486843253193193,PI-NODE-2state,5,12,14.178362718206658,9.454523627614938,0.005022058457811576
slight_shift_full_beam,0.0009553978322788334,38.344665703722974,PI-NODE-2state,5,13,39.20944690931351,4.366212069464545,0.0010919389652564067
slight_shift_full_beam,0.0015971589345951573,12.321171474806114,PI-NODE-2state,5,14,22.780742735351996,6.090316808664324,0.0016339991510854594
slight_shift_full_beam,0.0016216372549703578,18.12684257592337,PI-NODE-2state,5,15,27.561345670856134,4.133279270559938,0.0010173559795927866
slight_shift_full_beam,0.0006312038393905307,26.547884554745703,PI-NODE-2state,5,16,31.56698669839278,4.395993412719424,0.0007173802685979104
slight_shift_full_beam,0.0015642678825476524,21.365111970318516,PI-NODE-2state,5,17,29.940285079555824,4.941478097521242,0.0012609336047730544
slight_shift_full_beam,0.0013761388832170829,24.17221355152037,PI-NODE-2state,5,18,31.073098172140597,5.3469010861486765,0.0012455507477559871
slight_shift_full_beam,0.002407015168820226,18.989499359267235,PI-NODE-2state,5,19,23.864521223411625,7.38803955658575,0.0022889313183243427
strong_shift_full_beam,0.0016130750647313362,3.097381581293257,PI-NODE-2state,5,0,15.526900827611165,5.248180086227762,0.0010340370636265298
strong_shift_full_beam,0.003552408678225869,10.193500356321767,PI-NODE-2state,5,1,19.42776235036136,7.6408509830238405,0.0032328033169943273
strong_shift_full_beam,0.002600599742132279,9.143256427544598,PI-NODE-2state,5,2,18.299836827546024,6.43216411577461,0.003477599409384516
