case,clean_fit_mse,final_error_percent,model,run_idx,test_rel_rmse_percent,train_rel_rmse_percent,used_fit_mse
slight_shift_full_beam,0.0007995410084326779,0.1478410924385897,PI-NODE-2state,6,11.072707706841866,3.104416902241684,0.001091923089910917
slight_shift_full_beam,0.0006162838624761884,6.346177666984195,PI-NODE-2state,7,18.69851742624538,2.7421816384150413,0.0002943656387275616
slight_shift_full_beam,0.0007830535711521229,9.700910252524254,PI-NODE-2state,8,16.656220979793183,3.040466863363223,0.0008048585881936605
slight_shift_full_beam,0.0014934315012852038,5.326124778485598,PI-NODE-2state,9,15.499297149288733,4.310881017173578,0.0015338934237403954
slight_shift_full_beam,0.0006554744398586147,15.073508495769797,PI-NODE-2state,10,22.46663402540613,2.9560021569661914,0.0005965002298190222
slight_shift_full_beam,0.0005681597803203397,13.43819916636007,PI-NODE-2state,11,21.193801709319338,2.7168748880938587,0.0007457543149532415
slight_shift_full_beam,0.0007579121903975888,23.434647403037463,PI-NODE-2state,12,28.68083003836823,2.737252672303978,0.0008085712438007358
slight_shift_full_beam,0.0011749719327353453,-10.678272349243803,PI-NODE-2state,13,10.560043602410525,3.7204027522685355,0.0012687815131639368
slight_shift_full_beam,0.0005571069931128458,0.3368638588637441,PI-NODE-2state,14,15.342962475820132,2.797979672619836,0.0006681798902213585
slight_shift_full_beam,0.0009968871958648236,32.126045147716376,PI-NODE-2state,15,29.53558903660426,3.5017311926471937,0.0008074187892200201
slight_shift_full_beam,0.0009178257239424598,23.64544315136192,PI-NODE-2state,16,21.5892229921,3.3511389877983104,0.0006060855602321791
slight_shift_full_beam,0.0010035000383599915,13.84806113504647,PI-NODE-2state,17,18.708444973482262,3.5674339701947715,0.0009357147343671778
slight_shift_full_beam,0.0008519399093836194,3.10060925083266,PI-NODE-2state,18,13.95124992943828,3.230074395668515,0.0011031837916774575
slight_shift_full_beam,0.0006881803473505338,32.7720961614177,PI-NODE-2state,19,30.7595619441276,2.7571340912043882,0.0006817566039754467
strong_shift_full_beam,0.001267685106733127,-18.211117633847195,ODE-2state,0,13.557882770811613,3.6946133066024975,0.0010832463890168332
strong_shift_full_beam,0.0029127250110532544,-29.92562328032326,ODE-2state,1,28.29938846050763,6.080261992192767,0.0027311252775593315
strong_shift_full_beam,0.0015852089168382718,-24.44671899137097,ODE-2state,2,20.812626821158982,4.296768675359014,0.0015224757111782343
strong_shift_full_beam,0.0008468512003603782,-25.186424823640696,ODE-2state,3,19.468886766351492,3.167543832100417,0.0013250551326769405
strong_shift_full_beam,0.0008337983274418267,-22.743961070676963,ODE-2state,4,13.619032871935136,3.016432171920387,0.0007277108501683473
strong_shift_full_beam,0.0008669699396602467,-21.322526860921215,ODE-2state,5,13.987998320996702,3.222505375866956,0.0007435648382961576
strong_shift_full_beam,0.0007502470526317606,-21.46261299573283,ODE-2state,6,13.260991746665749,2.9948153066794436,0.0009155925303692868
strong_shift_full_beam,0.0005315635612728757,-25.240282238470055,ODE-2state,7,16.367595342482055,2.5176295392123573,0.0008353019186771218
strong_shift_full_beam,0.0011624344033693596,-23.285770036563907,ODE-2state,8,18.985841923703774,3.6454860639218074,0.0014113717432478524
strong_shift_full_beam,0.0007594147825671354,-26.002144755406107,ODE-2state,9,16.946577126201454,2.9771917215696555,0.0008592642817895179
strong_shift_full_beam,0.000645993687566135,-22.20747429454004,ODE-2state,10,13.366242575696202,2.715771595438541,0.0007328352297400803
strong_shift_full_beam,0.0012697100268486649,-20.592605851206635,ODE-2state,11,15.940796777677727,3.738237937686283,0.0013671396945384579
strong_shift_full_beam,0.0007335937113442129,-25.86208774408648,ODE-2state,12,16.8697161185536,2.9706571439460334,0.0009268892003577852
strong_shift_full_beam,0.000592174136010575,-27.665659409036653,ODE-2state,13,17.313191099778614,2.9670088904237746,0.00045957008949290817
strong_shift_full_beam,0.0010722517534379038,-27.44755549171519,ODE-2state,14,21.706663890735108,3.6742326117930166,0.0013840832058676588
strong_shift_full_beam,0.0005542816791735819,-26.97222645206829,ODE-2state,15,17.1978563547461,2.6478616911773716,0.0006397712398096733
strong_shift_full_beam,0.0010876253306188598,-27.297515741667283,ODE-2state,16,18.592793413720486,3.530817884295113,0.0009353822231892167
strong_shift_full_beam,0.0017731567400332549,-24.4739601660124,ODE-2state,17,23.23332188789373,4.548255349508044,0.002079895122445863
strong_shift_full_beam,0.0019294599065026792,-22.46020124669956,ODE-2state,18,22.066541607409473,5.54970189925516,0.001857281835087458
strong_shift_full_beam,0.0008515245999887423,-20.564672108659185,ODE-2state,19,14.351725934370657,3.5131790456646312,0.0008889539183570971
strong_shift_full_beam,0.0021433800640997145,-6.690375298000732,NODE-2state,0,11.494471647058102,4.554754619110329,0.0018697997049718594
strong_shift_full_beam,0.0038092149841965086,-15.394099412269316,NODE-2state,1,16.191032463750684,6.892467332352497,0.0034963668124498018
strong_shift_full_beam,0.0016964317372269138,-31.616887222137102,NODE-2state,2,23.744997784532,4.328454011198536,0.0016905592799283838
strong_shift_full_beam,0.001400039440886946,-36.97333306559236,NODE-2state,3,27.11188346845667,3.926175623421952,0.0020778371288004754
strong_shift_full_beam,0.0017663206789512264,-43.74448792855721,NODE-2state,4,33.04713362355716,4.294111775886442,0.001542536340936692
strong_shift_full_beam,0.001526370086653426,-8.489057388439626,NODE-2state,5,10.868624083767498,3.819670212822296,0.0012252525789490144
strong_shift_full_beam,0.0024274447810900637,-27.152730217380164,NODE-2state,6,20.604382443755743,5.466084723752866,0.0027663941147657795
strong_shift_full_beam,0.0012367851941615226,-3.8261649031188547,NODE-2state,7,11.71089102404091,3.53149194219649,0.0016715565409325007
strong_shift_full_beam,0.002513005010902376,-19.4027522474272,NODE-2state,8,19.324745524215878,5.371541687201184,0.0029409482119586413
strong_shift_full_beam,0.00307664021189982,-20.946749881876205,NODE-2state,9,21.040674046184442,6.092178806583751,0.0030643469097335996
strong_shift_full_beam,0.0021019887574124665,10.606818105206846,NODE-2state,10,12.772847165237511,4.654976959822924,0.0022246728218792257
strong_shift_full_beam,0.002443339642838149,-41.30495380127311,NODE-2state,11,31.735633854328864,5.151362871796909,0.0026093763320113005
strong_shift_full_beam,0.0015508426431828045,-16.837667891459617,NODE-2state,12,16.95903747032489,4.017225310739217,0.0017742990520787164
strong_shift_full_beam,0.002653426619375245,-36.1570580807645,NODE-2state,13,27.069097883754534,5.841823893101907,0.002383231517428283
strong_shift_full_beam,0.0020248403290361243,-61.90428639109914,NODE-2state,14,44.26582439126305,5.18155702944635,0.00241959449333949
strong_shift_full_beam,0.002191591936210209,-37.07091156348482,NODE-2state,15,27.48192330730186,4.9080450347857285,0.002418751167841385
strong_shift_full_beam,0.001989799920973103,4.349542478642619,NODE-2state,16,12.303569714570111,4.539035162062279,0.0018124848763884835
